N;Pregunta;Opción A;Opción B;Opción C;Opción D;Respuesta Correcta
78;¿Qué debe ocurrir si se pierde la línea de vista entre el piloto y el observador en IEB?;El observador debe correr hacia una posición elevada para recuperar el contacto.;El piloto debe activar el modo automático y esperar a que la señal se estabilice.;La operación debe suspenderse inmediatamente por motivos de seguridad operacional.;Se debe continuar la misión utilizando únicamente los sensores FPV de la aeronave.;Opción C
79;¿Cuál es el criterio para el uso de observadores en operaciones VLOS dentro de IEB?;Es obligatorio para todas las misiones que duren más de veinte minutos de vuelo.;Es opcional y queda sujeto a la autorización previa del Jefe de Pilotos.;Está prohibido el uso de observadores para no distraer al piloto durante el vuelo.;Depende exclusivamente de si el piloto tiene visión 20/20 certificada por un médico.;Opción B
80;¿Qué certificación debe portar obligatoriamente el observador UAS de IEB en campo?;Un certificado de curso de alturas nivel avanzado emitido por el SENA o similar.;Certificado de Idoneidad vigente de la Aerocivil y examen médico ocupacional.;Licencia de radioaficionado vigente emitida por el Ministerio de las TIC.;Certificado de curso de manejo de sustancias peligrosas para el transporte de baterías.;Opción B
81;¿Cuál es la distancia máxima permitida para una operación VLOS en Ingeniería Especializada?;No debe superar los 3,000 metros bajo ninguna condición meteorológica.;Un radio de 1,500 metros siempre que el drone tenga luces estroboscópicas.;La distancia máxima permitida en estas operaciones es de 750 metros.;El límite de alcance que proporcione el fabricante en el manual del equipo.;Opción C
82;¿Cuál es la política de IEB respecto al uso de corrección visual para observadores?;Está prohibido el uso de gafas de sol ya que oscurecen la línea de vista del drone.;El uso de lentes es opcional si el observador declara sentirse cómodo sin ellos.;Si el observador requiere gafas o lentes, debe portarlos obligatoriamente.;Se prefiere personal que no requiera corrección visual para misiones críticas.;Opción C
83;¿Qué perfil de experiencia prefiere la empresa IEB para sus observadores UAS?;Personal administrativo con conocimientos básicos en gestión de riesgos y seguros.;Expertos en telecomunicaciones con experiencia en antenas de radiofrecuencia.;Que cuente con experiencia previa como Piloto UAS para apoyar la seguridad.;Estudiantes de ingeniería que requieran realizar sus prácticas profesionales.;Opción C
84;¿Cuál es la condición crítica de comunicación para las operaciones EVLOS de IEB?;Se debe mantener comunicación vía telefónica con la oficina principal de IEB.;Debe existir comunicación continua entre el Piloto UAS y el observador.;El uso de señales de humo o banderas en caso de que fallen los radios portátiles.;Basta con una señal visual de pulgar arriba al inicio y al final de la misión.;Opción B
85;¿Qué sucede si el observador no presenta su examen médico ocupacional al inspector?;El inspector puede permitir el vuelo si el observador firma una carta de compromiso.;Se asigna la tarea de observación al personal de apoyo que tenga mejor visión.;El ítem se calificará como No satisfactorio y generará una constatación negativa.;IEB puede presentar una foto del documento enviada por WhatsApp al auditor.;Opción C
86;¿Qué debe contener el acta textual que realiza el inspector durante la entrevista de emergencia?;El listado de todos los equipos electrónicos y sus números de serie de fábrica.;La declaración del personal sobre el conocimiento y actuación ante el Plan de Emergencias.;Un resumen de la experiencia laboral previa de cada uno de los observadores en campo.;La firma del representante legal de IEB avalando que el personal es apto para volar.;Opción B
87;Ante una pérdida confirmada del enlace C2, ¿cuál es la primera acción del piloto según el protocolo?;Apagar la estación de control en tierra para reiniciar el sistema de comunicación inalámbrica.;Alertar al equipo de operación e iniciar las acciones de recuperación definidas en el MO.;Solicitar al observador que intente derribar la aeronave para evitar que salga de la zona.;Continuar la misión de forma manual confiando en la última posición conocida del GPS.;Opción B
88;¿Cuál es la consecuencia de que un observador de IEB olvide sus lentes si el manual exige corrección visual?;El inspector puede prestarle unos binoculares para que continúe con la labor de observación.;Se debe designar a un espectador que tenga mejor visión para que asuma el rol del observador.;El ítem se calificará como No satisfactorio y el observador no podrá participar en la operación.;Basta con que el piloto declare que puede ver la aeronave sin ayuda del observador asignado.;Opción C
89;¿Qué información de telemetría debe priorizar el piloto de IEB si el sistema indica degradación del enlace?;La resolución de la cámara y el espacio disponible en la tarjeta de memoria de video.;La temperatura del procesador de la GCS y la versión del mapa satelital utilizado.;Altitud, posición geográfica (GIS), nivel de batería y calidad del mando y control.;El nombre de la red Wi-Fi más cercana y la intensidad de la señal de telefonía móvil.;Opción C
90;¿Cuándo debe IEB socializar obligatoriamente el Plan de Respuesta a Emergencias?;Únicamente cuando se presente un accidente real durante el desarrollo de la misión.;Durante la charla previa o briefing antes de iniciar cualquier operación con el UAS.;Al momento de contratar al personal operativo en la sede administrativa de la empresa.;Mediante un correo electrónico masivo enviado a todos los empleados al final del mes.;Opción B
91;¿Qué áreas de gestión deben estar claramente definidas en las oficinas de IEB según el RAC 145?;Únicamente un área de recepción y una sala de juntas para atención de clientes.;Calidad, SMS, Planeamiento Operacional, Registro Técnico y Gerencia. [cite: 51];Un centro de control de vuelos con pantallas gigantes y monitoreo satelital.;Solo se requiere un escritorio para el Jefe de Pilotos y un espacio para el archivo.;Opción B
92;"¿Bajo qué condiciones el inspector califica como ""Adecuado"" el ambiente de trabajo en la sede?";Si cuenta con aire acondicionado central y mobiliario de oficina de alta gama.;Cuando las oficinas están situadas en un edificio con certificación de sostenibilidad.;Si permite que el personal de mantenimiento realice su trabajo satisfactoriamente. [cite: 51];Si tiene acceso restringido mediante biometría y cámaras en cada puesto de trabajo.;Opción C
93;¿Qué requisitos físicos deben cumplir las instalaciones destinadas al desarrollo de la actividad UAS?;Estar ubicadas a menos de cinco kilómetros de un aeropuerto controlado.;Proporcionar iluminación, ventilación, protección ambiental y seguridad. [cite: 51];Tener paredes pintadas de color blanco mate para evitar reflejos en las pantallas.;Contar con un sistema de extinción de incendios especializado para metales.;Opción B
94;¿Cuál es la exigencia reglamentaria para las áreas de almacenamiento de herramientas?;Deben estar situadas fuera de la sede administrativa para evitar contaminación.;Tener una temperatura constante de 15 grados para evitar la degradación del plástico.;Contar con estantes de madera para evitar la acumulación de electricidad estática.;Que las áreas estén identificadas y el acceso sea restringido a personal autorizado. [cite: 51];Opción D
95;¿Qué debe demostrar IEB respecto a los manuales (MO, MCM, SMS) en la sede administrativa?;Que cada manual tiene un código de barras único para el seguimiento de la biblioteca.;Que los manuales han sido traducidos a tres idiomas para operaciones internacionales.;Que posee el manual o documento en formato físico o digital para verificación. [cite: 51];Que existe una copia impresa y anillada en cada puesto de trabajo de la oficina.;Opción C
96;¿Qué figura administrativa debe tener poder amplio para tomar decisiones sobre la operación UAS?;El responsable del área de Calidad, quien supervisa el cumplimiento del RAC.;El Jefe de Pilotos, por ser la máxima autoridad técnica durante las misiones.;Cualquier socio de la empresa que posea más del 20% de las acciones.;Un Directivo Responsable nombrado formalmente por la Gerencia de la Empresa. [cite: 51];Opción D
97;¿Cómo se evalúa la suficiencia de los espacios para el personal de mantenimiento en IEB?;Si el área total de la oficina supera los cien metros cuadrados por técnico.;Si cuentan con herramientas de mano de la marca recomendada por el fabricante.;Por la cantidad de ventiladores o extractores instalados en el área de bodega.;Considerando que sean de dimensiones suficientes para el trabajo satisfactorio. [cite: 51];Opción D
98;¿Qué sucede si IEB no presenta las pruebas de un requisito administrativo durante la auditoría?;El inspector otorgará un plazo de 48 horas para enviar la evidencia por correo.;"Se calificará como ""No satisfactorio"" en la columna de Estado de Implementación. [cite: 82, 83]";"Se marcará como ""No aplicable"" para no retrasar la emisión del certificado.";El Jefe del Equipo de Certificación deberá realizar una segunda visita a la sede.;Opción B
99;"¿Qué debe verificar el inspector sobre la ""Protección de los espacios"" en la sede administrativa?";Que las ventanas tengan doble vidrio para aislar el ruido del tráfico vehicular.;Que la instalación proteja equipos y documentos del polvo y medio ambiente. [cite: 51];La presencia de un guardia de seguridad privado armado en la entrada principal.;Que el edificio cuente con una póliza de seguro contra desastres naturales pagada.;Opción B
100;¿Cuál es la función del Manual de Control de Mantenimiento (MCM) en la sede de IEB?;Servir como guía publicitaria para demostrar a los clientes la capacidad técnica.;Listar los precios de cada uno de los repuestos que IEB tiene disponibles.;Registrar los datos personales y las direcciones de residencia de los mecánicos.;Establecer los procedimientos de mantenimiento de las aeronaves y equipos de IEB. [cite: 51];Opción D
101;¿Qué requisito se evalúa respecto a las carcasas de embalaje en la bodega de IEB?;Que las carcasas sean de colores llamativos para evitar tropiezos en la bodega.;Que cada maleta de transporte tenga un rastreador satelital GPS activo.;Verificar el apilamiento adecuado de carcasas y el uso de espumas de seguridad. [cite: 51];Que las carcasas hayan sido fabricadas con materiales reciclados por política.;Opción C
102;¿Qué debe comprobar el inspector respecto al Programa de Instrucción o capacitación?;Que el programa incluya cursos de idiomas extranjeros para todos los pilotos.;Verificar que la empresa posea el documento correspondiente en físico o digital. [cite: 51];Que el costo de la capacitación sea asumido en un 100% por los empleados.;La lista de asistencia a la última charla de motivación empresarial de la sede.;Opción B
103;"¿Cuál es el criterio para calificar un ítem como ""No aplicable"" en la sede administrativa?";Cuando el inspector considera que el requisito es demasiado difícil de cumplir.;Si la empresa IEB demuestra que ya cumplió con un requisito similar anteriormente.;Cuando el representante de IEB solicita omitir ese punto por ser confidencial.;Cuando lo indicado en la pregunta no es aplicable para el solicitante evaluado. [cite: 81];Opción D
104;¿Qué información debe figurar en la Casilla 14 (Pruebas/Notas) del formato de sede?;La documentación de las pruebas presentadas y los aspectos examinados por el inspector. [cite: 82];El resumen de la hoja de vida del inspector que está realizando la auditoría.;Un listado detallado de todos los muebles y equipos de oficina en las instalaciones.;La dirección de correo electrónico del Jefe del Equipo de Certificación.;Opción A
105;¿Qué se requiere para el almacenamiento de herramientas y materiales en IEB?;Que todas las herramientas estén marcadas con el logo de IEB en estuches rígidos.;Un inventario digital que se actualice mediante etiquetas de radiofrecuencia.;Que las herramientas pasen por un proceso de desinfección al regresar de campo.;Contar con instalaciones seguras para el almacenamiento debidamente identificadas. [cite: 51];Opción D
106;¿Qué relación existe entre la Casilla 11 (Respuesta) y la Casilla 13 (Estado)?;"Si la respuesta es ""SÍ"", el estado debe ser obligatoriamente ""Satisfactorio"".";"Si la respuesta es ""NO"", el inspector no puede anotar nada en el estado.";"Es posible marcar ""SÍ"" en la respuesta y ""No satisfactorio"" en el estado. [cite: 68]";Ambas casillas deben ser llenadas únicamente por el representante de la empresa.;Opción C
107;¿Qué debe verificar el inspector sobre la disposición de las hélices en el embalaje?;Que las hélices estén pintadas con puntas amarillas para mejorar la visibilidad.;Que cada hélice esté envuelta en papel burbuja individual para evitar rayones.;Verificar la correcta disposición de las hélices del UA dentro de su embalaje. [cite: 51];Que el número de serie de cada hélice coincida con el motor del drone.;Opción C
108;¿Cuál es la importancia de la iluminación y ventilación en las oficinas de planeación?;Son requisitos estéticos para mejorar la productividad del personal de IEB.;Permiten que el inspector pueda tomar mejores fotografías de las evidencias.;Sirven para demostrar que IEB cumple con los estándares de arquitectura.;Son condiciones básicas que el inspector debe verificar en las instalaciones. [cite: 51];Opción D
109;¿Qué debe contener el Manual o Documento de SMS de IEB?;La lista de todos los accidentes aéreos ocurridos en el país en la última década.;El plan de carrera y los beneficios de bienestar para los empleados de IEB.;Los procedimientos y políticas para la gestión de la seguridad operacional. [cite: 51];Un manual de primeros auxilios y el directorio de las clínicas más cercanas.;Opción C
110;¿Qué garantiza que la gestión de Calidad sea efectiva en la sede administrativa?;Contar con espacios de oficina determinados para estas tareas de la actividad. [cite: 51];El uso de software de contabilidad general para el seguimiento de los gastos.;Que el responsable de calidad sea una persona externa que no trabaje en IEB.;Tener una biblioteca física con todos los reglamentos aeronáuticos impresos.;Opción A
111;¿Qué debe verificar el inspector sobre la idoneidad del personal de mantenimiento en el MCM?;Que tengan licencia de piloto comercial de aviación tripulada vigente.;La designación de personal responsable y su competencia técnica para los equipos.;Que el personal asista a cursos de psicología organizacional cada semestre.;Únicamente que el personal sepa realizar el despegue y aterrizaje básico.;Opción B
112;¿Cuál es el requisito para el registro de las actividades de mantenimiento de cada UA?;Un archivo de fotos en la nube que muestre al técnico trabajando en el taller.;Tener una hoja de cálculo en Excel sin firmas guardada en un computador local.;Contar con un Libro de Mantenimiento actualizado y disponible para revisión.;Una declaración verbal del Jefe de Pilotos asegurando el buen estado del drone.;Opción C
113;¿Qué aspecto de la estación de tierra (GCS) se evalúa dentro del mantenimiento del sistema?;Únicamente la limpieza externa de la pantalla y el brillo del monitor.;La marca del sistema operativo y la capacidad de almacenamiento del disco duro.;No se requiere mantenimiento ya que la estación no vuela ni sufre desgaste.;Su buen estado físico y funcional, incluyendo radios, antenas y cables.;Opción D
114;¿Bajo qué criterio se evalúa el seguimiento a proveedores de mantenimiento externos?;Verificando el seguimiento que realiza IEB y el mantenimiento que este realiza.;Por el precio más bajo ofrecido en el mercado para la reparación de motores.;Únicamente por la cercanía geográfica del taller a la sede administrativa.;No es necesario realizar seguimiento si el proveedor tiene su propio manual.;Opción A
115;¿Qué debe demostrar IEB respecto al suministro de energía de la GCS?;Que el cable de poder sea de una longitud superior a los diez metros.;Garantizar que el suministro de energía es eficiente y óptimo para la operación.;Tener un contrato con la empresa de energía local para evitar cortes de luz.;Que los enchufes de la oficina estén pintados de color naranja (corriente crítica).;Opción B
116;¿Cómo se tratan los equipos tecnológicos complementarios para ampliar el alcance C2?;Como accesorios opcionales que no requieren estar en el plan de mantenimiento.;Como equipos desechables que deben reemplazarse cada diez misiones de vuelo.;Deben tratarse en forma similar a la UA, describiendo su mantenimiento técnico.;Únicamente se requiere que estén encendidos durante la fase de despegue.;Opción C
117;¿Qué se verifica respecto al almacenamiento de herramientas en la sede de IEB?;Que todas las herramientas sean de fabricación nacional para apoyo industrial.;Que las herramientas estén en bolsas de plástico selladas al vacío sin polvo.;Tener un inventario físico pegado en la puerta para consulta de visitantes.;La existencia de instalaciones seguras, identificadas y con acceso restringido.;Opción D
118;¿Cuál es la consecuencia de no contar con el MCM aprobado durante la auditoría?;El inspector puede otorgar una aprobación verbal provisional por treinta días.;"Se recibirá una calificación de ""No satisfactorio"" en las constataciones.";Se permite que IEB utilice el manual de otra empresa explotadora certificada.;El proceso continúa normalmente siempre que el manual de operaciones esté listo.;Opción B
119;¿Qué debe verificarse sobre el estado físico de los conectores y cables del enlace C2?;Que los cables sean de la misma marca que la aeronave (compatibilidad total).;Que tengan una etiqueta que indique la fecha exacta de la última limpieza.;Que todos los equipos (radios, antenas y cables) estén en buen estado funcional.;La longitud exacta de cada cable medida en milímetros para el inventario.;Opción C
120;¿Qué requisito se evalúa sobre la preservación de los UAS en la bodega?;Que los drones estén colgados del techo para evitar que toquen el suelo.;Que la bodega esté pintada de color gris para reducir la fatiga visual técnica.;La presencia de música ambiental para reducir el estrés durante la reparación.;El uso adecuado de carcasas, espumas de seguridad y disposición de hélices.;Opción D
121;¿Cómo debe IEB asegurar la eficiencia de sus técnicos UAS según el procedimiento?;Asegurando la aplicabilidad de equipos, herramientas, insumos y mantenimiento.;Mediante el pago de bonificaciones por cada drone reparado en menos de una hora.;Realizando pruebas de vuelo acrobático para verificar los ajustes del técnico.;Enviando a los técnicos a capacitaciones en el extranjero cada mes de trabajo.;Opción A
122;¿Qué debe contener el programa de mantenimiento para los vuelos BVLOS de IEB?;La lista de las mejores zonas de cobertura celular nacional para telemetría.;Descripción de condiciones para asegurar el enlace C2 y equipos complementarios.;El historial de todos los videos grabados durante las pruebas de alcance.;Un mapa con la ubicación de todas las antenas de radioaficionados en la zona.;Opción B
123;¿Cuál es el criterio para el mantenimiento de las baterías de la aeronave?;Seguir el procedimiento de control, manejo y almacenamiento definido en el manual.;Deben ser desechadas automáticamente después de seis meses desde su compra.;Que cada batería tenga una funda protectora contra el calor hecha de asbesto.;Solo se requiere verificar que el voltaje sea el máximo indicado por el cargador.;Opción A
124;"¿Qué debe validar el inspector sobre la ""Protección de los espacios"" de mantenimiento?";Que el taller cuente con ventanas reforzadas contra impactos de proyectiles.;La presencia de aire acondicionado que mantenga la sala a 18 grados Celsius.;Que las instalaciones protejan los equipos del polvo, humedad y medio ambiente.;Que el suelo sea de material antideslizante para evitar caídas del personal.;Opción C
125;¿Qué relación debe existir entre el MCM y el Manual de Operaciones (MO) de IEB?;Deben ser coherentes entre sí, especialmente en mantenimiento menor.;El MCM debe estar integrado dentro del MO y no ser un documento separado.;El MCM tiene prioridad legal sobre el MO en todos los casos de emergencia.;No existe relación, ya que el mantenimiento es técnico y la operación táctica.;Opción A
126;¿Qué se verifica respecto al personal de mantenimiento en la inspección administrativa?;Que tengan un título de ingeniería aeronáutica y maestría en sistemas UAS.;Que los mecánicos tengan uniformes ignífugos para manipular baterías de litio.;Si el solicitante cuenta con el personal idóneo para efectuar la labor propia.;La cantidad de horas extras que los técnicos han trabajado en el último mes.;Opción C
127;¿Cuál es la importancia de la iluminación y ventilación en el área de mantenimiento?;Sirven para que los videos de seguridad de la oficina tengan mejor calidad.;Permiten que los drones se sequen rápido después de vuelos en zonas húmedas.;Son requisitos estéticos para mejorar la productividad del personal de IEB.;Son condiciones básicas que el inspector debe verificar en las instalaciones.;Opción D
128;¿Qué debe demostrar IEB sobre el equipo de apoyo asignado al mantenimiento C2?;Que existe personal asignado para el mantenimiento de sistemas del enlace C2.;Que cada auxiliar de mantenimiento tiene su juego de herramientas personal.;Que el personal de apoyo ha trabajado previamente en aerolíneas comerciales.;La capacidad de los auxiliares para traducir manuales técnicos del inglés.;Opción A
129;¿Qué debe ocurrir si IEB utiliza una banda de frecuencia con licencia para el C2?;El mantenimiento debe ser realizado exclusivamente por personal de la ANE.;Se debe demostrar cumplimiento de normativa y aprobación de la agencia respectiva.;El MCM debe incluir un contrato de mantenimiento con el fabricante de antenas.;Se requiere que las antenas sean reemplazadas cada vez que se renueve el uso.;Opción B
130;"¿Cuál es el criterio para calificar el mantenimiento como ""Satisfactorio"" en la auditoría?";Si el inspector no encuentra polvo sobre las aeronaves almacenadas en bodega.;Si el Jefe de Mantenimiento tiene una buena relación con el equipo auditor.;Cuando se cumplen todos los puntos y se presentan evidencias de cada actividad.;Cuando el costo de las herramientas presentadas supera el valor de los drones.;Opción C
131;¿Cuál es el valor límite del Índice KP bajo el cual IEB prohíbe terminantemente la operación?;Si el índice KP es igual o superior a 3, para evitar interferencias leves en el GPS.;Únicamente si el índice KP llega a 9, durante tormentas solares extremas.;La operación no debe realizarse si el índice KP es igual o superior a 5.;El manual no establece un límite de KP, solo recomienda precaución en zonas polares.;Opción C
132;¿Qué estándar de seguridad y algoritmo de encriptación utiliza IEB para proteger su enlace C2?;Utiliza un cifrado básico de 64 bits compatible con cualquier estación móvil.;El protocolo WPA2 modificado para transmisiones de larga distancia en la banda 2.4 GHz.;El estándar de seguridad basado en el algoritmo de encriptación AES-256.;Un sistema de encriptación propietario de la Aerocivil denominado RAC-Secure.;Opción C
133;¿Cuál es la política de IEB respecto al consumo de alcohol previo a una operación UAS?;Está prohibido el consumo de alcohol 8 horas antes del inicio de la fase de preparación.;Se prohíbe el consumo de alcohol y sustancias 12 horas antes del inicio de la operación.;No se permite el consumo de sustancias durante la jornada, sin restricción de horas previas.;El piloto debe someterse a una prueba de sangre 24 horas antes de cada misión EVLOS.;Opción B
134;¿Cuál es el ciclo de vida documental para los registros digitales en la oficina de IEB?;Se deben retener por 12 meses y luego eliminarse para liberar espacio en el servidor.;Permanecen 24 meses en oficina y luego se envían a archivo muerto por 10 años.;Deben retenerse 36 meses en oficina y 24 meses adicionales en archivo muerto.;Se guardan indefinidamente hasta que la empresa pierda su certificación de explotador.;Opción C
135;¿Qué plazo máximo tiene IEB para comunicar cambios en su Manual de Operaciones a la Aerocivil?;Debe informarse de forma inmediata en las primeras 24 horas tras el cambio.;Cuenta con un plazo máximo de 15 días hábiles para comunicar la actualización.;Los cambios se reportan únicamente durante la auditoría anual de seguimiento.;Tiene 30 días calendario para enviar la copia física firmada por el Gerente.;Opción B
136;¿Cuál es la diferencia principal entre los comités SRB y SAG dentro del SMS de IEB?;El SRB es operativo y mensual, mientras que el SAG es estratégico y anual.;El SRB es estratégico (Gerente General) y el SAG es operativo (seguimiento mensual).;No existe diferencia, ambos términos se usan indistintamente para la gestión de riesgos.;El SAG solo se convoca ante accidentes, mientras que el SRB es para incidentes leves.;Opción B
137;¿Qué velocidad del viento representa el límite operativo (Nivel 4 Beaufort) para IEB?;Una velocidad máxima de 10 m/s para garantizar la estabilidad de los sensores Zenmuse.;El límite de seguridad establecido por el manual es de 7 m/s.;Se permite operar hasta los 12 m/s si se utiliza el modelo DJI Matrice 300 RTK.;No hay límite de viento si el piloto activa el modo de vuelo deportivo (Sport).;Opción B
138;¿Cuántos satélites exige el manual de IEB como mínimo para cumplir requisitos de telemetría?;Se requiere un mínimo de 15 satélites para garantizar la precisión en misiones Lidar.;Basta con 6 satélites enlazados siempre que la señal GLONASS sea estable.;El manual exige un mínimo de 12 satélites enlazados para telemetría.;Se debe contar con 8 satélites para telemetría y 12 para navegación GPS.;Opción C
139;¿Cuál es la dimensión de seguridad del dronepuerto para un DJI Matrice 300 RTK (3 veces D)?;El área segura debe ser de 150 cm partiendo desde el centro del punto de despegue.;Se requiere un diámetro total de 500 cm para evitar turbulencias de estela.;El manual establece un área segura de 315 cm para este modelo específico.;Basta con un área de 200 cm si la superficie es de concreto o asfalto rígido.;Opción C
140;"En la matriz de riesgos de IEB, ¿qué representa una calificación cualitativa de ""5A""?";Un riesgo de probabilidad Improbable con una severidad de impacto Menor.;Un riesgo con probabilidad Frecuente y una severidad de impacto Catastrófica.;Un incidente que es Sumamente Improbable y que no requiere medidas de mitigación.;Un riesgo Remoto que solo debe ser monitoreado trimestralmente por el SAG.;Opción B
141;¿Qué programa interno utiliza IEB para la prevención del consumo de sustancias y fatiga?;Utiliza el protocolo de bienestar humano denominado IEB-SALUD-2024.;Se basa en el programa interno GTH.PG.019 para mitigación y prevención.;Aplica la norma internacional ISO 45001 adaptada a tripulaciones de drones.;Sigue los lineamientos del manual del fabricante DJI para descanso de tripulaciones.;Opción B
142;¿Cuáles son los rangos específicos de las bandas de frecuencia detallados en el manual de IEB?;Frecuencias de 900 MHz y 1.2 GHz para misiones de largo alcance en zonas rurales.;Rangos de 2.4000-2.4835 GHz y 5.725-5.850 GHz para el enlace de datos.;Banda única de 5.0 GHz con el fin de evitar interferencias con redes Wi-Fi domésticas.;Frecuencias de radiofrecuencia militar entre los 400 MHz y 800 MHz.;Opción B
143;¿Qué sucede con los documentos de IEB tras cumplir su tiempo en archivo muerto?;Se devuelven al Jefe de Pilotos para su archivo personal como evidencia de horas.;Se digitalizan nuevamente y se guardan en un servidor de respaldo por 10 años.;Se procede a su destrucción dejando constancia mediante un acta formal.;Se donan a escuelas de formación UAS para ser utilizados como material de estudio.;Opción C
144;¿Qué sensores específicos están registrados para la flota de IEB (M300 RTK)?;Cámaras multiespectrales para agricultura de precisión y sensores térmicos FLIR.;Sensores Zenmuse L1 y G7 South para misiones de captura de datos técnicos.;Únicamente cámaras RGB de alta resolución para inspección visual de activos.;Escáneres láser de profundidad de la marca Leica para cartografía de alta precisión.;Opción B
145;"¿Qué probabilidad de riesgo se define como ""Sumamente Improbable"" en el SMS de IEB?";Aquella que ocurre al menos una vez por cada diez misiones de vuelo realizadas.;Un evento que podría ocurrir pero no hay registros de que haya sucedido antes.;Cualquier situación que solo ocurra durante vuelos nocturnos en condiciones de lluvia.;Un riesgo que tiene una probabilidad de ocurrencia de nivel 1 en la matriz.;Opción D
146;¿Cuál es el número mínimo de satélites para navegación en la fase de pre-vuelo de IEB?;Se deben enlazar al menos 12 satélites antes de armar los motores de la UA.;El manual permite iniciar la navegación con un mínimo de 8 satélites.;Basta con tener 5 satélites si el sistema RTK indica una precisión centimétrica.;No se requiere un mínimo si la operación se realiza en modo de flujo óptico.;Opción B
147;"¿Cómo se define la severidad ""E"" en la matriz de riesgos de seguridad operacional?";Pérdida total de la aeronave y daños catastróficos a terceros o infraestructura.;Impacto insignificante que no afecta la continuidad de la operación ni la seguridad.;Daños mayores a la propiedad que requieren la activación inmediata del comité SRB.;Lesiones leves al personal que no requieren hospitalización ni reporte a la Aerocivil.;Opción B
148;¿Cuál es la función estratégica del Safety Review Board (SRB) en IEB?;Realizar el mantenimiento preventivo de las aeronaves tras incidentes reportados.;Liderar la gestión de seguridad desde la alta gerencia y tomar decisiones estratégicas.;Supervisar que los pilotos utilicen sus Elementos de Protección Personal en campo.;Actualizar diariamente los datos meteorológicos en la cartelera de la sede.;Opción B
149;¿Qué modelos exactos de aeronaves conforman la flota certificada de IEB?;DJI Mavic 3 Enterprise y DJI Matrice 600 con sistemas de aspersión.;DJI Air 3 y DJI Matrice 210 con capacidades de búsqueda y rescate térmico.;DJI Mavic 3 Pro y DJI Matrice 300 RTK para operaciones especializadas.;Cualquier aeronave de la marca DJI que tenga un peso inferior a los 25 kg.;Opción C
150;¿Cómo debe actuar el SAG ante un reporte de peligro identificado en una operación?;Debe suspender la licencia del piloto involucrado hasta que termine la investigación.;Realizar el seguimiento mensual y proponer acciones correctivas operativas.;Informar directamente a la Aerocivil antes de analizar el riesgo internamente.;Ignorar el reporte si no hubo daños materiales o lesiones físicas al personal.;Opción B
151;¿En qué ubicación física específica de IEB se encuentra el área de almacenamiento prolongado de UAS?;En la Oficina 204 del Centro Empresarial Puerto Seco.;Dentro de la Oficina 247 del Centro Empresarial Puerto Seco.;En la bodega externa ubicada en el sótano del edificio.;En el área compartida de la Gerencia de Mantenimiento.;Opción B
152;¿Cuál es la distancia de seguridad obligatoria ante una batería que presente humo o fuego?;Se debe mantener una distancia mínima de 5 metros.;La distancia de seguridad exigida es de 10 metros.;No hay distancia mínima si se cuenta con guantes ignífugos.;Debe evacuarse un radio de 50 metros a la redonda.;Opción B
153;¿Qué precisión de medición ofrece el sensor Zenmuse L1 a una distancia de 100 metros?;Una precisión de 10 cm para cartografía general.;Precisión de 1 cm para levantamientos de alta fidelidad.;Tiene una precisión de medición de 3 cm a 100 metros.;La precisión depende exclusivamente del software DJI Terra.;Opción C
154;¿Cuál es el plazo máximo para realizar el reporte formal ante la ocurrencia de un incidente?;Debe reportarse en un plazo no mayor a 24 horas.;Se cuenta con 48 horas para radicar el informe escrito.;El reporte debe hacerse en los primeros 15 días del mes.;Inmediatamente tras el aterrizaje, vía comunicación radial.;Opción A
155;¿Qué acción es obligatoria realizar inmediatamente después de la inspección física post-vuelo?;Limpiar los sensores inerciales con aire comprimido seco.;Colocar el protector del lente de la cámara o sensor.;Descargar los archivos de telemetría al servidor central.;Retirar las hélices para el transporte en la carcasa.;Opción B
156;¿Quién debe ejecutar las auditorías internas del SMS en IEB para garantizar la objetividad?;El Gerente de SMS junto con el Jefe de Pilotos de la flota.;Únicamente el Gerente General de Ingeniería Especializada.;Debe ser ejecutada por la Líder de SGI-Calidad.;Un auditor externo contratado por la Aeronáutica Civil.;Opción C
157;¿Cuál es la instrucción principal ante eventos de orden público durante la operación?;Aterrizar la aeronave y defender el equipo de captura.;Evacuar la zona y aterrizar la UA en el lugar más seguro.;Llamar al comité SRB antes de tomar cualquier decisión.;Continuar la misión hasta que la autoridad llegue al sitio.;Opción B
158;¿Cuál es el techo de servicio para el M300 RTK utilizando las hélices modelo 2110?;Un techo de servicio máximo de 7000 metros de altitud.;El manual establece un límite de 3000 metros AGL.;Alcanza un techo de servicio máximo de 5000 metros.;No tiene límite de servicio si la temperatura es menor a 20°C.;Opción C
159;¿Qué tipo de extintor se especifica para el uso exclusivo en emergencias con baterías?;Extintor de Clase A (maderas, papeles y cartones).;Extintor de Clase C (para equipos eléctricos energizados).;Uso exclusivo de un extintor de Clase D.;Extintor de propósito general tipo ABC de cinco libras.;Opción C
160;¿Cuál es el límite exacto de resistencia al viento para el DJI Matrice 300 RTK?;Un límite de 7 m/s según la escala de Beaufort nivel 4.;Tiene una resistencia exacta al viento de 12 m/s.;Puede operar con ráfagas de hasta 15 m/s en modo P.;El límite lo define el piloto según su experiencia en campo.;Opción B
